ID,Plataformas,FrecuenciaInternet,SeriesFavoritas,FrecuenciaNetflix,RecenciaNetflix,IntencionNetflix1,BenefEsp1,BenefEsp2,BenefEsp3,BenefEsp4,BenefEsp5,BenefEsp6,BenefEsp7,BenefEsp8,BenefEsp9,BenefEsp10,BenefEsp11,BenefEsp12,BenefEsp13,Actitud1,Actitud2,Actitud3,Barreras1,Barreras2,Barreras3,Barreras4,Barreras5,Barreras6,Barreras7,Barreras8,Barreras9,ControlPerc1,NormaDescriptiva1,NormaDescriptiva2,NormaSubjetiva1,NormaSubjetiva2,IntencionNetflix2,ControlPerc2,Sexo,Edad,TiempoResp
18,Netflix,Entre 2 y 3 horas,Romantica,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,6,6,6,1,6,1,1,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,Mujer,21,277.3565808
19,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 3 y 5 horas,TV réalité;horreur;aventure/action,6,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,5,4,5,3,6,4,4,6,2,4,6,6,NA,NA,NA,NA,NA,NA,NA,Mujer,20,510.6135589
20,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,Science Fiction;humour/comédie;aventure/action,3,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,5,3,3,6,2,3,4,4,6,3,5,2,3,5,NA,NA,5,NA,NA,NA,Mujer,19,381.9590042
21,Netflix,Entre 3 y 5 horas,TV réalité;drame;romantique,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,3,1,3,3,3,3,3,2,NA,NA,NA,5,NA,NA,NA,Mujer,18,162.9459844
22,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo,Entre 1 y 2 horas,humour/comédie;aventure/action;thriller,1,NA,1,NA,1,NA,NA,NA,NA,2,2,2,NA,5,NA,NA,1,3,5,2,3,2,2,2,2,3,2,3,2,2,5,1,2,2,2,Mujer,17,363.6413342
23,Netflix;OCS;Canal+ série et/ou film,Entre 0 y 30 minutos,Monologos;Documental;Thriller,2,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,3,3,3,5,6,6,6,1,6,1,6,6,NA,NA,5,2,5,NA,5,Mujer,23,312.0387847
24,Netflix;OCS;Canal+ série et/ou film;Amazone prime vidéo,Entre 1 y 2 horas,TV réalité;humour/comédie;horreur,4,NA,NA,NA,2,NA,NA,5,5,5,5,1,5,5,NA,5,4,4,5,1,1,3,3,3,1,3,3,3,NA,5,5,NA,5,NA,NA,Mujer,18,243.2723053
25,Netflix;OCS;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 2 y 3 horas,Historica;Drama;Romantica,2,5,2,5,5,NA,5,NA,NA,5,NA,5,NA,5,NA,5,5,4,5,4,3,4,3,3,4,5,3,5,NA,NA,5,NA,NA,5,NA,Mujer,19,407.5103722
26,Netflix;Canal+ série et/ou film;Apple TV+;Amazone prime vidéo;disney+,Entre 30 minutos y 1 hora,humour/comédie;horreur;jeunesse et famille,1,1,1,1,1,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,1,4,4,6,3,3,1,1,1,4,1,1,1,1,NA,1,NA,1,1,Mujer,19,233.9917526
27,Netflix;OCS;Canal+ série et/ou film,Entre 1 y 2 horas,Science Fiction;TV réalité;aventure/action,6,NA,NA,NA,NA,NA,NA,5,2,NA,5,NA,5,NA,NA,NA,5,5,6,3,5,6,5,5,4,2,5,4,NA,5,NA,5,NA,NA,NA,Hombre,18,317.1532175
